SPLog,DWT,Yas,Engines RPM,BACI,BACI-1,BACI-2,BACI-3,BPNI,BPNI-1,BPNI-2,BPNI-3,BSIS,BSIS-1,BSIS-2,BSIS-3,BHSI,BHSI-1,BHSI-2,BHSI-3,LIBOR,Japan,"China, People's Republic Of",Caterpillar,UK P&I,FEI,Total HP Main Eng,Philippines,"Korea, South",Others Country Build,MAN-B&W,Wartsila,Mitsubishi,Japan P&I Club,Gard,West of England,North of England,Britannia P&I,London P&I Club,Skuld,Steamship Mutual,Others,Unknown,Nippon Kaiji Kyokai (IACS),Lloyd's Register ,Bureau Veritas (IACS),Det Norske Veritas (IACS),American Bureau of Shipping (IACS) ,Others Class,With Two Classes,Disclassed,Panama,Marshall Islands,Liberia,Malta,"Hong Kong, China",Singapore,Others Flag,With two flags
6.91381385238372,"60,847",31,126,"4,318","10,506","13,005","13,978","2,382","5,993","7,517","9,627","2,729","4,189","4,897","5,843","1,361","2,151","2,554","2,713",0.0312168,0,0,0,0,2.001657794,18501,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6.74036268949424,"53,521",30,,"6,917","6,045","5,972","6,036","4,640","3,923","4,258","4,211","2,944","2,808","2,989","2,786","1,482","1,393","1,535","1,388",0.0535941,1,0,0,0,,14001,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7.17609125905568,"53,521",30,,"15,357","14,078","14,002","10,715","9,967","11,515","9,410","7,620","5,988","6,949","5,588","5,004","2,934","3,198","2,777","2,495",0.0496208,1,0,0,0,,14001,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6.85764121830807,"64,684",33,122,"1,310","1,351","2,346","2,910","1,820","1,310","1,845","2,377","1,398","1,177","1,493","1,526",696,707,829,796,0.003119,1,0,0,1,1.288314472,14400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6.69897000433602,"52,975",28,120,"5,120","5,182","4,583","3,645","3,881","3,709","2,960","3,038","2,855","2,673","2,332","2,227","1,470","1,261","1,107","1,076",0.0538366,0,0,0,0,2.373402438,13699,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6.84509804001426,"62,212",29,,"1,981","1,337",838,"1,265",795,558,622,677,512,421,622,583,300,281,315,329,0.0121081,0,0,0,0,1.597103041,16000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6.75264221807537,"61,203",31,,"1,564","1,768","1,310","1,351","1,450","1,968","1,820","1,310","1,390","1,523","1,398","1,177",797,790,696,707,0.0028138,0,0,0,0,1.765022815,16000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7.35983548233989,"58,412",26,119,"14,078","14,002","10,715","8,930","11,515","9,410","7,620","7,384","6,949","5,588","5,004","4,705","3,198","2,777","2,495","2,348",0.0514652,1,0,0,0,1.597845192,13101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7.00000000000000,"64,590",27,122,"6,045","5,972","6,036","5,616","3,923","4,258","4,211","3,722","2,808","2,989","2,786","2,798","1,393","1,535","1,388","1,339",0.0536001,1,0,0,0,1.236431508,13499,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7.16136800223498,"61,754",26,119,"8,643","8,359","9,127","7,810","6,426","5,601","5,826","5,003","4,039","4,077","4,005","3,482","1,947","1,989","1,997","1,775",0.0536,1,0,0,0,1.505144897,13100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7.30102999566398,"63,195",27,,"13,005","13,978","18,749","14,173","7,517","9,627","9,912","8,972","4,897","5,843","6,405","5,444","2,554","2,713","3,304","2,789",0.02792,0,0,0,0,1.724414257,14000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
